date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:54:35	23254/23254	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22660be7a9-5ad6%22	https://www.smartlabdental.com/assets/fonts/nationale-demibold-webfont.eot	C:/My%20Web%20Sites/dentalsmartlab.es/assets/fonts/nationale-demibold-webfont.eot	(from https://www.smartlabdental.com/assets/user-style.css?1710778952)
12:54:35	23254/23254	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22660be7a9-5ad6%22	https://www.smartlabdental.com/assets/fonts/nationale-demibold-webfont.eot?	C:/My%20Web%20Sites/dentalsmartlab.es/assets/fonts/nationale-demibold-webfontd41d.eot	(from https://www.smartlabdental.com/assets/user-style.css?1710778952)
12:54:35	26704/26704	---M--	200	added ('OK')	font/woff	etag:%22660be7a9-6850%22	https://www.smartlabdental.com/assets/fonts/nationale-demibold-webfont.woff	C:/My%20Web%20Sites/dentalsmartlab.es/assets/fonts/nationale-demibold-webfont.woff	(from https://www.smartlabdental.com/assets/user-style.css?1710778952)
12:54:35	50864/50864	---MCZ	200	added ('OK')	application/octet-stream	etag:W/%22660be7a9-c6b0%22	https://www.smartlabdental.com/assets/fonts/nationale-demibold-webfont.ttf	C:/My%20Web%20Sites/dentalsmartlab.es/assets/fonts/nationale-demibold-webfont.ttf	(from https://www.smartlabdental.com/assets/user-style.css?1710778952)
12:54:36	89818/89818	---M--	200	added ('OK')	image/svg+xml	etag:%22660be7a9-15eda%22	https://www.smartlabdental.com/assets/fonts/nationale-demibold-webfont.svg	C:/My%20Web%20Sites/dentalsmartlab.es/assets/fonts/nationale-demibold-webfont.svg	(from https://www.smartlabdental.com/assets/user-style.css?1710778952)
12:54:36	76564/76564	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22660be7a9-12b14%22	https://www.smartlabdental.com/assets/fonts/nationale-extrabold-webfont.eot	C:/My%20Web%20Sites/dentalsmartlab.es/assets/fonts/nationale-extrabold-webfont.eot	(from https://www.smartlabdental.com/assets/user-style.css?1710778952)
12:54:36	76564/76564	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22660be7a9-12b14%22	https://www.smartlabdental.com/assets/fonts/nationale-extrabold-webfont.eot?	C:/My%20Web%20Sites/dentalsmartlab.es/assets/fonts/nationale-extrabold-webfontd41d.eot	(from https://www.smartlabdental.com/assets/user-style.css?1710778952)
12:54:36	26968/26968	---M--	200	added ('OK')	font/woff	etag:%22660be7a9-6958%22	https://www.smartlabdental.com/assets/fonts/nationale-extrabold-webfont.woff	C:/My%20Web%20Sites/dentalsmartlab.es/assets/fonts/nationale-extrabold-webfont.woff	(from https://www.smartlabdental.com/assets/user-style.css?1710778952)
12:54:36	19612/19612	---M--	200	added ('OK')	font/woff2	etag:%22660be7a9-4c9c%22	https://www.smartlabdental.com/assets/fonts/nationale-extrabold-webfont.woff2	C:/My%20Web%20Sites/dentalsmartlab.es/assets/fonts/nationale-extrabold-webfont.woff2	(from https://www.smartlabdental.com/assets/user-style.css?1710778952)
12:54:37	76348/76348	---MCZ	200	added ('OK')	application/octet-stream	etag:W/%22660be7a9-12a3c%22	https://www.smartlabdental.com/assets/fonts/nationale-extrabold-webfont.ttf	C:/My%20Web%20Sites/dentalsmartlab.es/assets/fonts/nationale-extrabold-webfont.ttf	(from https://www.smartlabdental.com/assets/user-style.css?1710778952)
